CF1,f11,MAE1,MAE2,pred,date,countries
"[[78  0]
 [ 9  0]]",0.4727272727272727,0,0,[],2022-09-12 00:00:00,[]
"[[78  0]
 [ 9  0]]",0.4727272727272727,0,0,[],2022-09-26 00:00:00,[]
"[[78  0]
 [ 9  0]]",0.4727272727272727,0,0,[],2022-10-10 00:00:00,[]
"[[78  0]
 [ 9  0]]",0.4727272727272727,0,0,[],2022-10-24 00:00:00,[]
0,0,-1,-1,[],2022-11-07 00:00:00,[]
